url,titulo,texto,status,local,data_hora,problem_type,product_type,category,texto2
https://www.reclameaqui.com.br/brastemp-consul/titulo_Ascs9n9qH59E7BAF/,[Editado pelo Reclame Aqui],"te induzem ao erro e cobram de você, absurdo",,Florianópolis - SC,06/08/2024 às 13:06,Eletrodomésticos,Secadora de roupa e centrífuga,Assistência técnica,"Consideração final do consumidor
06/08/2024 às 13:53
[Editado pelo Reclame Aqui]
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/maquina-de-lavar-louca_nXQASR8mnVmt4Uzh/,Máquina de lavar louça,"comprei uma lava-louca no Zaffari Bourbon dia 11/07 e dia 12/07 vi que tinha defeito, fui no Zaffari Bourbon para pedir a troca, não trocaram e mandaram que procurasse a Brastemp. Procurei a Brastemp e autorizada. levaram 2 vezes para a oficina autorizada pela Brastemp e voltou pior do que foi. sem funcionar e vazando agua, inclusive alagou minha cozinha. fora isso os tecnicos estiveram em minha casa mais duas vezes. A lava-louca ainda esta na Brastemp.peço providencias urgente.",,Porto Alegre - RS,04/08/2024 às 15:05,--,--,--,"Consideração final do consumidor
07/08/2024 às 12:55
Não resolveram . Preciso da lava-louça. Comprei . Levaram e não devolveram mais, pior nem deixaram uma ordem de serviço. Nunca mais deram o ar da graça
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/garantia-demorada_WXn-rOiPlaTt6kGw/,Garantia demorada,"Ontem dia 01/08 entrei em contato para receber serviços da garantia, pois comprei uma máquina dia 11/05 e hj 01/08 já deu problema, e a assistência autorizada mais próxima fica a 100 km d onde moro sendo assim diz q viriam só no dia 10/08...

Agora como fico 10 dias sem uma máquina de lavar, sendo q tenho crianças pequenas um absurdo isso",,Jataí - GO,02/08/2024 às 12:11,Não encontrei meu problema,Lavadora de roupas e Tanquinho,Assistência técnica,"Consideração final do consumidor
06/08/2024 às 10:29
Só quero atendimento, q resolva o problema da minha máquina, s comprei e pq preciso
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/assistencia-tecnica-agenda-e-nao-aparece_HY_QEk19ten4d-pu/,Assistência técnica agenda e não aparece,"Geladeira inverter brastemp com 1,5 ano parou de refrigerar.
Por ter sido comprada garantia de mais 3 anos, foi acionada assistência técnica em São Paulo, conforme:
Data: 25jul
Protocolo *******
OS: 44137771

Agendaram para o sábado 27/jul às 10:30. Não compareceram e ao ligar informaram que o carro quebrou.

Na segunda ligamos novamente e disseram que estavam buscando nova data.
Na quarta, disseram que viam quinta 01/08 na hora do almoço. Não vieram e não deram mais satisfação.

O que devemos fazer Brastemp??",,Recife - PE,02/08/2024 às 10:11,--,--,--,"Consideração final do consumidor
05/08/2024 às 21:47
Uma recomendação para os consumidores: Não contratem garantia estendida. A seguradora não vai mandar a assistência autorizada do fabricante. Vai mandar empresas de baixa qualidade terceirizadas, que o fabricante (nesse caso a Brastemp) nem conhece. Precisei acionar a Brastemp diretamente, que mesmo após 1 ano da garantia me atendeu com rapidez e de forma gratuita.
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
10"
https://www.reclameaqui.com.br/brastemp-consul/brastemp-nao-tem-qualquer-respeito-com-o-consumidor_rFxno7KRkApDUmsk/,BRASTEMP NAO TEM QUALQUER RESPEITO COM O CONSUMIDOR,"Tive a infelicidade de efetuar uma compra pelo site da BRASTEMP dia 02/07 de uma máquina de lavar e um refrigerador. A máquina de lavar foi entregue dia 05/07, porém o refrigerador ainda consta em separação.
Tenho buscado solucionar o problema junto a empresa desde o dia 12/07, mas não obtive retorno.
Registrei reclamação no Reclame Aqui, SAC e PROCON.
Recebi um e-mail com o remetente ATENDIMENTO PROCON informando que iria analisar a razão do produto não ter sido integrado ao pedido. Como constava remente ATENDIMENTO PROCON, julguei se tratar de uma resposta do órgão, quando então respondi solicitando ajuda para entrega emergencial. Porém, horas depois percebi que o email era na verdade do SAC da própria empresa, o que considerei um descaso e um desrespeito sem precedentes, uma vez que, sendo um retorno do setor responsável em resolver o problema, era para ter sido apresentada uma solução de imediato e não que o caso ainda seria analisado. Logo, retifique a mensagem, solicitando o cancelamento. Entrei no site de compras e tambem fiz o cancelamento quando informaram que receberia retorno em 48 horas. Ocorre que nada ainda foi feito. Em constantes contatos via WhatsApp e chat, o retorno que obtive era de que, como havia registrado reclamacao no PROCON, o SAC não poderia me dar informações e teria que aguardar contato e assim, sigo até hoje, sem geladeira para armazenar meus alimentos e com o limite do meu cartão de crédito comprometido porque a BRASTEMP não processa o cancelamento a compra.
É inacreditável o que está acontecendo. Uma afronta ao Código de Defesa do Consumidor. Não bastasse a empresa vender um refrigerador que é considerado produto essencial e não entregar ainda NAO CANCELA a compra, impedindo o consumidor de adquirir outro produto.
O que a empresa está promovendo ulltrapassa a caracterização de mero erro de procedimento para inquestionável [Editado pelo Reclame Aqui], beirando a criminalidade. Os setores de atendimento estão achincalhando o cliente, pois, as respostas são sempre inúteis e claramente procrastinatorias",,Rio de Janeiro - RJ,01/08/2024 às 21:56,Eletrodomésticos,Geladeira-Refrigerador,Mau Atendimento,"Consideração final do consumidor
06/08/2024 às 19:29
Não resolvem o problema, apenas procrastinam. Atendimento péssimo.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/parou-de-funcionar_RlIQ7MQgHyFnI1-o/,parou de funcionar,"Minha geladeira parou de funcionar do nada, entro em contato com o número 30030099 fala que o número não está disponível, faz 1 mês e pouco que eu comprei essa geladeira paguei 3 mil reias e ninguém me atende.",,São Paulo - SP,01/08/2024 às 14:51,Eletrodomésticos,Geladeira-Refrigerador,Assistência técnica,"Consideração final do consumidor
06/08/2024 às 09:46
bom
O problema foi resolvido?
Resolvido
Voltaria a fazer negócio?
Sim
Nota do atendimento
10"
https://www.reclameaqui.com.br/brastemp-consul/geladeira_AR1UTxKcVFhADqP7/,Geladeira,"Comprei a Geladeira de R$ 4899,00 no dia 09/06/2024 com garantia estendida de R$ 307,91 um total de R$ 5206,91. Recebi a mercadoria no dia 18/06/2024 (terça feira), deixei a geladeira parada sem mexer conforme descrito no manual para que o gás estabilize, no dia 20/06/2024 (quinta feira) segui as orientações do manual para ligar a geladeira que não funcionou, veio e na primeira tentativa não funcionou, posteriormente entrei em contato para pedir a troca, o atendimento foi para que eu solicita-se o reparo, no atendimento afirmaram que a geladeira ficaria nova pq trocaria a peça com defeito, pois a solicitação da troca demoraria pelo menos 90 dias e eu ficaria muito tempo sem geladeira. Devido essas informações segui conforme orientada, no dia 27/06/2024 consegui solicitar o agendamento, no dia 02/07/2024 veio o técnico que olhou e falou que o compressor precisava trocar e que iria pedir a peça, tendo um prazo de recebimento da peça de mais 15 dias, a segunda visita ocorreu no dia 22/07/2024 (20 dias após a primeira visita) nessa segunda visita o técnico que veio falou que não era apenas o compressor, mas que também tem um vazamento e que a geladeira veio sem gás. teria que pedir outra peça além do compressor, mais 10 dias para a segunda peça, hoje já faz esses 10 dias e não temos retorno de ninguém. Conforme código de defesa do consumidor quero uma geladeira nova imediatamente, pois já são 44 dias sem geladeira e nenhuma assistência competente, nenhum auxilio da marca do produto, nada. Ou o meu dinheiro de volta.",,Alto Paraná - PR,31/07/2024 às 17:10,Eletrodomésticos,Geladeira-Refrigerador,Não gela,"Consideração final do consumidor
06/08/2024 às 14:57
Horrível, muito ruim mesmo em todos os aspectos. Falta de respeito com o consumidor. Não estou pedindo favor, paguei e não foi barato.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/lavadora-bnf10-estragada-em-menos-de-01-mes_EypQK7BoqRNCFY_s/,Lavadora BNF10 estragada em menos de 01 mês,"Comprei uma lavadora de roupas Brastemp para substituir a que perdi nas enchentes aqui de POA e pra minha surpresa ela estragou em menos de 30 dias. Menos de 30 dias de uso e ela fica travada num ciclo, mesmo desligando a máquina. O painel não responde os comandos. Foi comprada nas Lojas Taqui que me disseram ser necessário o contato com a Brastemp, pois fiz o contato pelo terrível atendimento via robôs e até agora não tive nenhum retorno. Não tenho mais a menor confiança na marca e gostaria do meu dinheiro de volta e a devolução deste produto.",,Porto Alegre - RS,31/07/2024 às 12:15,Eletrodomésticos,Lavadora de roupas e Tanquinho,Má qualidade,"Consideração final do consumidor
07/08/2024 às 09:31
Desconsidera o inciso 3 do CDC diante dos danos em componentes essenciais que diminuem a qualidade do produto. Só repetem o que lhes interessa do CDC. Por fim vendem produtos de baixíssima qualidade sem nenhuma proteção aos direitos do Consumidor.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/geladeira-comprada-a-vista-no-site-veio-com-defeito-mas-empresa-nao-tem-tel_J8Ooii-ZZ-0W703s/,Geladeira comprada a vista no site veio com defeito mas empresa não tem telefone fixo de atendimento e compradora ficou sendo atendida pela autorizada incompetente.,"Prezada Brastemp,

Venho, por meio desta, manifestar minha profunda insatisfação com a recente compra de uma geladeira pelo site da Brastemp. Adquiri o produto à vista, na expectativa de receber um item de qualidade, conforme a reputação que a marca sempre sustentou. No entanto, a geladeira apresentou um barulho imenso desde sua instalação, comprometendo seu funcionamento adequado e a tranquilidade do meu lar.

Para agravar a situação, o atendimento presencial realizado pela empresa autorizada pela Brastemp no bairro de Botafogo foi insatisfatório e não solucionou o problema. Como cliente fiel da Brastemp há mais de 20 anos, sempre confiei na qualidade dos produtos e no suporte oferecido pela empresa. A empresa pode verificar o histórico de compras realizadas sob o CPF ******* para confirmar minha lealdade.

É com grande constrangimento que relato que fui tratada de maneira desrespeitosa, especialmente considerando que minha moradia é um pequeno e humilde quartinho. Essa experiência negativa me deixou extremamente decepcionada e envergonhada.

Diante disso, solicito a devolução integral do valor pago pela geladeira e que a Brastemp providencie a retirada do produto, adquirido no ano passado. Ressalto que, em 2019, também comprei um fogão Consul automático à vista, mas durante a pandemia não consegui abrir nenhuma reclamação a respeito de problemas que surgiram.

Como consumidora que vive com apenas um salário mínimo, reforcei minha confiança na marca ao juntar o dinheiro necessário para essas aquisições. É essencial que as empresas reconheçam a importância de valorizar seus consumidores e tomem medidas para reparar os problemas encontrados em seus produtos.

Aguardo uma resposta urgente e uma solução definitiva para esta situação.

Atenciosamente,",,Rio de Janeiro - RJ,30/07/2024 às 21:49,Não encontrei meu problema,Geladeira-Refrigerador,Má qualidade,"Consideração final do consumidor
05/08/2024 às 17:15
Atendimento muito ruim para quem vai defender uma empresa que parece ser solidária com as pessoas em ajudar. Triste mesmo
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
https://www.reclameaqui.com.br/brastemp-consul/maquina-de-lavar-com-problema_GP2wAVTX81RNtnRi/,Máquina de lavar com problema.,"Brastemp não resolve máquina de lavar com três semanas e desde o primeiro dia já veio com problema. Técnico já esteve várias vezes e o mesmo indicou não ter conserto e a Brastemp só enrola.
Solução nada.",,Palhoça - SC,30/07/2024 às 18:26,--,--,--,"Consideração final do consumidor
05/08/2024 às 17:34
Insatisfeito com Brastemp que só enrolou. Precisei reclamar aqui para ligarem pra mim. Gostaria de devolver a máquina mas tudo que fazem é me enrolar. Enrolar ,enrolar. Ninguém fala amos resolver.
Fabricam uma máquina que roupa sai encharcada na centrifugação onde o técnico deles disse estar com problema. Insatisfeito !!!Brastemp nunca mais.
O problema foi resolvido?
Não resolvido
Voltaria a fazer negócio?
Não
Nota do atendimento
0"
