url,titulo,texto,status,local,data_hora,problem_type,product_type,category
https://www.reclameaqui.com.br/electrolux/geladeira-electrolux-im8s-portas-amassadas_Ce4AoXVcgIu5aN25/,Geladeira Electrolux IM8S portas amassadas,"Comprei um referigerador Electrolux Multidoor - Efficient IM8S Frost Free (modelo 3 portas).Porém ao passar do tempo, percebi através de reflexos que a mesma começou aparecer amassados circulares nas portas, sem sequer acontecer avarias, já verifiquei aqui no próprio reclame aqui relatos de outras pessoas reclamando o mesmo problema.",,Barra Mansa - RJ,22/07/2024 às 09:00,Eletrodomésticos,Geladeira-Refrigerador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/compra-nao-entregue_Ez-lf4XxGIxc2etp/,Compra não entregue,"Fiz uma compra no dia 11/07/2024, com data de entrega, prometida pela empresa, até o dia 19/07/2024, e até agora não recebi minha compra.",,Campo Grande - MS,22/07/2024 às 08:17,Não encontrei meu problema,Geladeira-Refrigerador,--
https://www.reclameaqui.com.br/electrolux/purificador-de-agua-pc41b-nao-gela-devido-ao-vicio-oculto-de-fabrica_4IlvsmUnOKc4rUPk/,PURIFICADOR DE AGUA PC41B NÃO GELA DEVIDO AO VICIO OCULTO DE FABRICA,"Meu maior arrependimento por ter adquirido o PURIFICADOR DE AGUA ELETROLUX PC41B.
Até então vinha funcionando perfeitamente, ficando desde sua instalação no msm lugar!
mas de uns 5 meses para cá deixou de GELAR!
Compressor funciona Mas Gelar que é bom, nada!
Fiz uma rápida pesquisa na NET e sem muito esforço, encontrei VÁRIOS RELATOS sobre o mesmo problema, inclusive aqui mesmo no RECLAME AQUI!
Portanto, cheguei a conclusão de um VICIO OCULTO e que só aparece após um longo tempo de uso e compressor ligado!!! PESQUISEM E COMPROVEM.
Não perdi meu tempo de reclamar com a Própria ELETROLUX pq a resposta de PRAXE é que não está mais na garantia, não é problema dela!
Quero deixar minha INSATISFAÇÃO E ALERTA para aqueles que pretendiam comprar Esse Purificador, NÃO COMPREM!!!
Tenho Vários Produtos ELETROLUX em minha casa mas PURIFICADOR, nunca Mais!
FALA SÉRIO ELETROLUX BRASIL, ISSO NÃO É BARATO PARA TER VICIO OCULTO!",,Rio de Janeiro - RJ,22/07/2024 às 08:12,--,--,--
https://www.reclameaqui.com.br/electrolux/geladeira-dando-ferrugem_R5WcbCPu1ffJhHaN/,GELADEIRA DANDO FERRUGEM,"Comprei uma geladeira dessa marca, com freezer separado, e percebi que na parte de baixo próximo aos pés está descascando com ferrugem. Estou muito chateada pois comprei há pouco tempo e está estragando, enferrujando tudo sem motivo nenhum. Uso domiciliar, não tem troca de lugar e nem nada. A geladeira não pega um pingo de água sequer. Gostaria de fazer a troca do equipamento",,Rio de Janeiro - RJ,22/07/2024 às 07:07,Não encontrei meu problema,Geladeira-Refrigerador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/purificador-de-agua_hYgl_PUFVjIlWuIk/,Purificador de água,comprei um purificador de água Eletrolux e em menos de 30 dias as palavras que identificam temperatura de água sumiram.,,Curitiba - PR,21/07/2024 às 22:56,--,--,--
https://www.reclameaqui.com.br/electrolux/air-fryer-com-defeito_WF2RxL6iBTxbTqxw/,Air Fryer com defeito,"Há 10 meses comprei uma Air Fryer Digital Eaf20 da coleção Rita Lobo, utilizei poucas vezes e já está dando problema. Fica aparecendo o código E2 na tela e não funciona, no manual não tem nenhuma informação sobre esse erro e no site não encontro nenhuma ajuda. Entrei em contato para solicitar assistência técnica, pois está dentro da garantia, mas só existe a possibilidade de levar a uma autorizada. A única autorizada disponível da minha região é em uma cidade a 102km de distância, o que impossibilita a resolução do problema. Gostaria de um suporte melhor e que o problema fosse resolvido.",,Garanhuns - PE,21/07/2024 às 22:54,--,--,--
https://www.reclameaqui.com.br/electrolux/falta-de-assistencia-lava-e-seca_VEYG0JtyZTlA12JC/,Falta de assistência Lava e Seca,"Minha lava e seca Eletrolux, com menos de 1 ano, e ainda na garantia de fábrica quebrou em março/2024. Desde abril foi aberto chamado com assistência técnica, pediram peça que nunca chegou. Agora, após meses sem poder utilizar a máquina, o chamado foi finalizado mesmo sem a entrega da peça e nem o problema corrigido. Estou há quase 5 meses sem máquina, sem assistência, sem nenhum respeito por parte da Electrolux e sua assistência técnica.",,São Paulo - SP,21/07/2024 às 22:45,Eletrodomésticos,Lavadora de roupas e Tanquinho,Assistência técnica
https://www.reclameaqui.com.br/electrolux/mixer-electrolux-acumula-alimentos-na-tampa_nE1SA6BOsiCHTcLn/,Mixer Electrolux Acumula Alimentos na Tampa,"Comprei o mixer electrolux 3 em 1 Preto 400W EIB10 +2 Velocidades, utilizei apenas uma vez, fiz a higienização como indicado, porém ao pegar o produto para usar novamente, senti um odor horrível de coisa podre. Ao verificar a tampa preta, notei o escorrimento de uma água putreficada, que impossibilitou a utilização do aparelho novamente. Busquei todas as formas possíveis de higienizar a tampa (água sanitária, vinagre, detergente) sem sucesso. Estou com o produto parado, sem condições alguma de ser utilizado.

Fiquei decepcionado com a fragilidade do produto ao deixar entrar alimentos no compartimento da tampa qual deveria ser vedado.",,Goiânia - GO,21/07/2024 às 21:57,Eletroportáteis,Mixers e Processadores de alimentos,Acúmulo de água
https://www.reclameaqui.com.br/electrolux/pra-mim-e-propaganda-enganosa_X3TTyuvy55DJE3k2/,Pra mim é propaganda enganosa,"Comprei uma máquina de lavar modelo lec17 no site está que se você compra o aparelho você ganha mais um ano de garantia estendida grátis tem que apenas registrar o produto.
Recebi o produto aqui em casa e fui registrar o mesmo e no site fala que acabou a promoção
Então porque no site continua a propaganda da garantia estendida lá se eu não posso ativar o mesmo minha vontade e de devolver o produto uma sacanagem. Quero a garantia estendida pois a propaganda está no site.",,Blumenau - SC,21/07/2024 às 21:37,Eletrodomésticos,Lavadora de roupas e Tanquinho,Problema com garantia estendida
https://www.reclameaqui.com.br/electrolux/maquina-nao-esta-funcionando-apos-enchente_ieuxgoVxUVkit8Af/,Máquina não está funcionando após enchente,"Boa noite ! Moro em São Leopoldo e devido aos recentes casos de fortes chuvas minha casa ficou alagada e perdi quase tudo,tive que vir morar com meu pai . Minha máquina de lavar,que ainda estou pagando a fatura do cartão e ainda está na garantia , começou a apresentar defeitos após o alagamento(isso que não ficou totalmente submersa )e não tenho condições de arcar com a despesa do reparo pela assistência técnica.Eu venho a pedir a equipe da Electrolux para que me dê atenção e me ajude por favor. Estou tendo que começar do zero com todas as perdas e a máquina está nova, com menos de 6 meses de uso. Por favor Electrolux, fica aqui meu apelo, peço que entrem em contato comigo pelo whatsapp que está no meu cadastro, o antendimento número é 18051415",,São Leopoldo - RS,21/07/2024 às 21:08,--,--,--
