url,titulo,texto,status,local,data_hora,problem_type,product_type,category
https://www.reclameaqui.com.br/electrolux/falta-de-pecas-de-reposicao_kNajlU7S-TEi8fYN/,Falta de peças de reposição,"Estou desde 05 de abril de 2024 com um aparelho de ar condicionado portátil para conserto na Autorizada Tecnovision, mas a informação é de que a Electrolux não mais possui peças de reposição para o equipamento.
O técnico informou que a peça em falta é a placa de potência código a07817801 - aparelho P010F 127.
O equipamento é relativamente novo e não tem peça de reposição no mercado. Nesta semana entrei em contato com outras revendas autorizadas e tive a informação que a Electrolux descontinuou a venda dessa peça, não restando nenhuma em estoque.
Como consumidor me sinto extremamente desrespeitado, pois comprei um equipamento de uma empresa de renome, mas que simplesmente não coloca peças de reposição no mercado. E agora, o que faço? Jogo o aparelho no lixo e tenho que comprar um novo? Verdadeiro absurdo, com ferimento ao artigo 32 do Código de Defesa do Consumidor (CDC).",,São Paulo - SP,18/07/2024 às 19:15,Eletrodomésticos,Ar condicionado,Produto com defeito
https://www.reclameaqui.com.br/electrolux/tampa-da-panela-de-pressao-rita-lobo_03GkY_o3T5IxfH4y/,TAMPA DA PANELA DE PRESSÃO RITA LOBO,"Boa noite!

Comprei a panela de pressão tem no máximo 3 meses e no primeiro uso o cabo da tampa esquentou e saia vapor pelas bordas do cabo.

Desligamos a panela, esperamos um tempo e colocamos para funcionar novamente e infelizmente continuou saindo vapor pelas bordas do cabo.

Fomos até a loja onde compramos e trocamos.

Usando pela segunda vez, aconteceu a mesma coisa e pior: o cabo chegou a derreter.
Liguei na Electrolux e me passaram que tem um ano de garantia e que eu poderia levar na assistencia tecnica.

Levei na assistencia tecnica com todos os acessorios e eles me passaram que iria ser trocada toda a tampa.
Ficou uns 10 dias na aasistencia e fui buscar hoje.

Hoje mesmo fui fazer carne de panela pro nosso almoço e o cabo esquentou novamente, saiu vapor pelas bordas do cabo e mais uma vez o cabo chega a descolar!!!

Esperamos meses para comprar essa panela..inclusive é a mais cara! Preciso de um retorno porque sem panela de pressão não vou ficar e aceitar assim tambem não!!

Aguardo retorno.

Grato.",,Guaíba - RS,18/07/2024 às 19:04,Eletroportáteis,Panelas elétricas,Produto com defeito
https://www.reclameaqui.com.br/electrolux/panela-eletrica-soltando-tinta-no-arroz_vfy-bxe6xXNI9y4g/,Panela eletrica soltando tinta no arroz,Comprei uma penela elétrica de arroz em fevereiro e ela está soltando uma tinta preta no arroz. Essa panela é da minha Rita Lobo fiquei super decepcionado com a panela,,São José dos Campos - SP,18/07/2024 às 18:53,Não encontrei meu problema,Panelas elétricas,Produto com defeito
https://www.reclameaqui.com.br/electrolux/maquina-de-lavar-loucas-demora-para-fazer-o-processo-de-lavagem-completo_-5QBDPBSLzSYtBoo/,Máquina de lavar louças demora para fazer o processo de lavagem completo,"Comprei uma lava louças em 22/09/2023. Entrei em contato pelo site reclamando da demora da lavagem (6 horas) para fazer o processo completo. Mandaram um técnico da região em 24/04/2024. Este não achou defeito, mas não esperou a máquina fazer o ciclo completo.
Entrei em contato novamente e uma pessoa da empresa me disse que estava levando o meu caso para a área de engenharia da empresa.
Hoje, dia 18/07/2024, ainda não tive retorno da empresa.",,São Paulo - SP,18/07/2024 às 18:47,--,--,--
https://www.reclameaqui.com.br/electrolux/produto-nao-entregue_wThOfG8JAyg3EIPf/,Produto não entregue,"No dia 03/06 comprei um produto de um revendedor da marca Adélia Mendonça empresa de Minas Gerais , sendo que a entrega seria feita pela Magalu porém o produto não chegou no prazo que prometeram, entrei em contato com o revendedor que disse ter entregue no dia que fiz a compra. Entrei em contato com o atendimento da Magalu que me disse que o produto ficou preso na fiscalização entre os dois estados e que seria liberada em 12 dias úteis, ou seja chegaria em 16/07 segundo o atendimento. Hoje é dia 18/07 e nada. Se o produto extraviou quero reembolso do mesmo. Não vou mais esperar.",,São Paulo - SP,18/07/2024 às 18:33,--,--,--
https://www.reclameaqui.com.br/electrolux/geladeira-duplex-dfx-44-398l-nova-com-barulho-insuportavel_9jXENkhdPHehCZSh/,Geladeira dúplex dfx 44 398l nova com barulho insuportável,"Segue minha indignação, não é nada fácil hj em dia conseguir comprar uma geladeira, eu cotei várias marcas e resolvi comprar o modelo dfx 44 398litros inox da Electrolux marca que sempre gostei e pensei que poderia confiar. Mas, Desde que a geladeira chegou parece que tem um gato preso dentro da geladeira ou um trem , gente as vezes até assusta, eu chamei a assistência e a resposta que tive que é assim mesmo esse modelo. Agora como uma empresa tão conhecida, creio eu com vários engenheiros e funcionários capacitados, fazem um modelo que faz um barulho anormal que assusta ate as visitas da sua casa? Eu gostaria de uma solução, é um bem que vou ficar por muitos anos e desde que comprei já está com esse problema e com passar do tempo a tendência é piorar. Não indico a ninguém !! Aguardo uma solução. Grata!",,Taubaté - SP,18/07/2024 às 18:07,Eletrodomésticos,Geladeira-Refrigerador,Fazendo muito barulho
https://www.reclameaqui.com.br/electrolux/fogao_8yCApnJ4kKP5EzEN/,Fogão,"O fogão apresentou mal qualidade e eu tinha perdido a nota inclusive paguei por 2 anos de garantia estendida e não pude usar por conta da nota, mais agora achei a nota porém passou a garantia o fogão está todo enferrujado se partindo a trempe a ponto de cair as panelas e não poder usar a boca tb e abriu um buraco em uma das bocas. o ligar para o Sac foi orientado que eu pagasse a visita de um técnico para olhar e ver a cortesia da troca das peças e não de obra , paguei a visita e agora negaram a cortesia estão me cobrando 600 reais pelos reparos, sendo que o próprio técnico disse que era defeito de fabrica pois apenas uma boca teria aberto o buraco e que nunca viu um fogão assim. Aguardando retorno com brevidade desde já obrigado.",,Salvador - BA,18/07/2024 às 17:40,Eletrodomésticos,Fogão-Forno,Má qualidade
https://www.reclameaqui.com.br/electrolux/microondas-que-sai-a-tinta-de-dentro_-Z7nct1mIhU3mqHi/,Microondas que sai a tinta de dentro,"Efetuei a compra em fevereiro de 2023 de um microondas o mesmo desde abril esta sem poder usar pois na parte de dentro a tinta está saindo por total, a parte branca esta no ferro! Lamentável um microondas desse valor e da marca tão conhecida esta nessa situação! Entrei em contato com a electrolux em março falei com a atendente Tamiris me cobraram 70 reais de visita técnica.
Sendo que um microondas esta se desfazendo isso nao cabe ao mau uso meu e SIM pessima qualidade na tinta que foi passada no mesmo.",,Suzano - SP,18/07/2024 às 17:19,Eletrodomésticos,Micro-ondas,Má qualidade
https://www.reclameaqui.com.br/electrolux/produto-ruim-garantia-estendida-sem-suporte_2PfhBAoZxo90Ngr0/,"Produto ruim, garantia estendida sem suporte","Comprei uma geladeira IM8S para os meus pais e a mesma em menos de 2 anos apresentou vários problemas. Já foi necessária a troca do painel e neste ultimo domingo a mesma parou de gelar, o tecnico esteve aqui dia 16/07 e a previsão de chegada da peça é para 7 dias úteis. A expectativa da Electrolux é que eles percam todas as compras do mês? Um absurdo esse prazo de atendimento",,São Bernardo do Campo - SP,18/07/2024 às 17:14,Não encontrei meu problema,Geladeira-Refrigerador,Má qualidade
https://www.reclameaqui.com.br/electrolux/defeito-no-painel_Qm-i9BF-GGkjAltU/,defeito no painel,Máquina de lavar comprada a pouco tempo bem acondicionada e pouco utilizada está com as luzes do painel com defeito,,Teresina - PI,18/07/2024 às 16:53,Eletrodomésticos,Lavadora de roupas e Tanquinho,Produto com defeito
