url,titulo,texto,status,local,data_hora,problem_type,product_type,category
https://www.reclameaqui.com.br/electrolux/purificador-de-agua-novo-com-problemas_EUlyTKvjWbhbFHsx/,Purificador de água novo com problemas,"Comprei um purificador de água Eletrolux, porém deu defeito com apenas 2 semanas. Levei na assistência indicada por eles, porém, passou 1 semana e eles não falam o defeito e nem arrumam. Gostaria de trocar o produto mediante a isso. A ordem de serviço é a 18113991.",,Lavrinhas - SP,26/07/2024 às 22:47,Eletroportáteis,Bebedouros e Purificadores,Assistência técnica
https://www.reclameaqui.com.br/electrolux/maquina-de-lavar-nao-lava-a-roupa_egTPu4JF23zI-5PP/,Máquina de lavar não lava a roupa,"Comprei a máquina Electrolux 8,5kg tem 15 dias e a mesma não lava a roupa, você coloca pra bater e a roupa continua suja. Compramos por conta da marca que sempre foi boa e agora tô com essa máquina que é uma bomba.infelizmente.",,Petrópolis - RJ,26/07/2024 às 22:24,--,--,--
https://www.reclameaqui.com.br/electrolux/geladeira-dm90x_I_UE-RWiZg4LZVSi/,Geladeira DM90x,"Tenho uma geladeira da electrolux, modelo DM90x que apresentou defeito, a mesma a um tempo atrás começou a apresentar umidade entre as gavetas e a temperatura subia, eu ia ate a geladeira secava essa umidade e arrumava a temperatura, mas no ultima dia 25/07/24 a geladeira parou de gelar, começou a apresentar um cheiro forte e estranho.
Então no dia 26/07/24 chamei uma empresa autorizada da electrolux para consertar minha geladeira, o rapaz foi ate minha residencia e constatou que a não havia gás na geladeira, o que faz com que ela não gele, e não foi identificado o local do vazamento do gás, na realidade não há como saber onde esta vazando.
Visto isso, peço providencias a electrolux pois faz apenas 3 anos que eu tenho a geladeira, foi pago um valor caro, confie na electrolux na compra de um produto que fosse durar, como havia sido falado no ato da compra, e agora estou com uma geladeira sem funcionar. Não é possível que uma geladeira cara com todas os benefícios que é falado dure apenas 3 anos.",,Curitiba - PR,26/07/2024 às 22:15,Eletrodomésticos,Geladeira-Refrigerador,Produto quebrou com pouco tempo de uso
https://www.reclameaqui.com.br/electrolux/maquina-electrolux_cicHq7QUSgj7sy6G/,Maquina Electrolux,Fiz uma compra de uma máquina esta com 3 meses assim q eu comprei q chegou em casa chegou amassada na lateral e o painel n asendia fiz a reclamação falaram q era normal agora o painel apagou a maquina n lava e entrei em contato com a Electrolux e eles só enrolando n sei mais o q fazer pois tou na 3 parcela a maquina tá aqui parada a assistência técnica autorizada falou q n cobre a peça pedi pra fazer a troca pois a maquina n presta e ninguém resolve o técnico mim cobrou 800 reais na peça sendo q a maqui tá com garantia e já veio com defeito essa [Editado pelo Reclame Aqui] eu vou procurar o Procon pra resolver pois a Electrolux só tá enrolando quero uma resposta pois n sou obrigado a comprar um objeto e n t uso quando a maquina ligava ficava um barulho bem alto parecendo maquina velha tem um monte de roupa em casa eu n posso lava pois tou com problema nas costa e comprei a máquina pra mim ajuda e acontece esso eu preciso q resolver meu problema e trocar a maquina q n presta,,São Paulo - SP,26/07/2024 às 21:31,Eletrodomésticos,Lavadora de roupas e Tanquinho,Produto com defeito
https://www.reclameaqui.com.br/electrolux/display-da-geladeira-explodiu_NxPl_cXUIbN26ozj/,DISPLAY DA GELADEIRA EXPLODIU,"Comprei uma geladeira em DEZEMBRO de quase 4 mil reais. Um belo dia cheguei em casa (domingo à noite) a mesma (nova) estava com o display todo trincado e quebrado.

Entrei em contato com a empresa, a qual marcou uma visita técnica e adivinhem? NADA RESOLVIDO!

Me cobraram mais R$869 para consertar a geladeira.

Óbvio que não estou maluca ainda é não aprovei esse orçamento absurdo e a atendente ainda questionou o motivo pelo qual eu não aprovei o orçamento.

A geladeira está na GARANTIA e a resposta que eu tive é que a BENDITA EMPRESA ELECTROLUX não iria consertar minha geladeira.",,Rio de Janeiro - RJ,26/07/2024 às 20:16,Não encontrei meu problema,Geladeira-Refrigerador,Produto quebrou com pouco tempo de uso
https://www.reclameaqui.com.br/electrolux/decepcionado-com-a-qualidade-do-teflon-da-air-fryer-4l-electrolux-rita-lobo_Nvsh93cThT6HVXGH/,Decepcionado com a qualidade do Teflon da Air fryer 4L Electrolux Rita Lobo,"Comprei a Air Fryer 4L Rita Lobo da Electrolux em Dez/2022. Em menos de 2 anos de uso o Teflon do suporte que sustenta os alimentos está todo descasdo, e até mesmo a base que encaixa o suporte está descascando.
Não utilizamos ela diariamente ou semanalmente para desgastar tão rápido. Agora toda vez que usamos o alimento pode vir com um pedaço do teflon.",,São Paulo - SP,26/07/2024 às 19:58,Eletroportáteis,Fritadeira elétrica,Má qualidade
https://www.reclameaqui.com.br/electrolux/geladeira-df42x-electrolux-pior-compra_zQx7Pn_bmX7R2aOW/,Geladeira df42x Electrolux - pior compra,"Boa noite,

Preciso registrar minha indignação.

Comprei uma geladeira Electrolux df42x 30.11.2020, esperei até janeiro para ser entregue.

Exatamente com 1 ano apresentou defeito no motor, entendi que era o único defeito e eu poderia usá-la como a anterior por 10 anos.

Para minha surpresa, hoje 3 anos depois ela apresentou outro defeito, vazamento interno o melhor de tudo não tem concerto, essa foi avaliação de 2 técnicos de assistência.

Mesmo preservando e cuidado não adiantou, o eletrodoméstico foi mal projetado e eu fui prejudicado, é lamentável uma empresa como Electrolux produza itens de tão pessima qualidade.

Registrado.",,São Paulo - SP,26/07/2024 às 19:44,Eletrodomésticos,Geladeira-Refrigerador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/preciso-pecas-reposicao_YIJOh_ybOYmHLRe5/,Preciso peças reposição,"Não consigo encontrar um retentor do eixo do tambor em lugar algum do planeta.
Modelo lsw11 ou lsp11.
Meu cliente está sem equipamento a meses",,Uberlândia - MG,26/07/2024 às 19:42,--,--,--
https://www.reclameaqui.com.br/electrolux/geladeira-parou-de-funcionar-pela-2-vez_3IQ21GZwhfN8bEYS/,Geladeira parou de funcionar pela 2 vez,"Boa noite,

A pouco tempo atrás abri uma outra reclamação pois minha geladeira ""nova"" com menos de 5 anos de uso ( bom uso) quebrou. Essa geladeira já parou de funcionar 2 vezes em menos de 2 anos.

Recebemos a devolutivo da marca com o técnico que veio até minha casa, o mesmo apenas olhou a geladeira e deu uma guia de serviço falando que precisaria fazer um teste, só o valor desse teste é de R$ 380,00 no qual a marca não cobre. Até aí tudo bem, mas o retorno da marca dói de que após o teste eles poderiam apenas se for peça eles cobrem 50% da peça e se for a ""Caixa da geladeira"" eles podem dar um crédito de MAIS OU MENOS 50% para comprar a mesma geladeira que hoje está mais cara do que quando comprei.

Sempre gostei da marca e nunca me deu problemas, mas uma geladeira durar menos de 5 anos é um absurdo total, e a forma que vocês tratam os problemas não é satisfatório.

Gostaria apenas que arrumem minha geladeira, não preciso nem de uma nova. Ficaria feliz.",,São Paulo - SP,26/07/2024 às 19:22,Eletrodomésticos,Geladeira-Refrigerador,Assistência técnica
https://www.reclameaqui.com.br/electrolux/purificador-acqua-pure-nao-funciona_nvKUwPIYaD5lVueu/,Purificador Acqua pure não funciona,"Recentemente adquiri um purificador Acqua pure, porém ele vem apresentando um defeito: não sai água.
Todas as luzes se acendem, mas ao acionar o botão de iniciar o fluxo de água, o produto não responde. Ontem mesmo eu estava usando e estava tudo certo.
Não é problema de refil saturado, visto que acende uma luz vermelha quando indica a necessidade de troca de refil, e isso não aconteceu. Como o produto está na garantia, solicito verificação por técnicos",,Cariacica - ES,26/07/2024 às 18:54,Não encontrei meu problema,Purificador,Assistência técnica
