url,titulo,texto,status,local,data_hora,problem_type,product_type,category
https://www.reclameaqui.com.br/electrolux/forno-homepro-modelo-oe9st-problema-vidro-interno_thjyCQaKxcjfhr-x/,Forno homepro modelo OE9ST - problema vidro interno,"Comprei um forno modelo OE9ST linha HomePro e microondas em 2019, hoje do nada ao abrir a porta o vidro interno estourou a assistência da minha cidade excelence diz não ter peças deste modelo porque ficou obsoleto. Isso mesmo um forno de quase 6000????",,Cascavel - PR,16/07/2024 às 17:01,Eletrodomésticos,Fogão-Forno,Assistência técnica
https://www.reclameaqui.com.br/electrolux/troca-de-produto-e-nota-fiscal-divergente-do-valor-pago_jv5ANlVs4ArG-L2y/,Troca de produto e nota fiscal divergente do valor pago,"Eu fiz a compra de uma geladeira no mês de abril pelo site da eletrolux, para presentear meus sobrinhos que casaram, no entanto com menos de 2 meses de uso começou apresentar problemas, mas eles fizeram uma compra de carnes e tudo que possa ir na geladeira, tenho vídeos e fotos estragou tudo pois do nada a geladeira não funciona, o técnico veio e disse que não tem conserto que tem que trocar, aí começou o problema pois eles afirmam que não tem a geladeira em estoque sendo que vários sites inclusive da eletrolux tem a mesma geladeira, os armários da cozinha foram feitos conforme a exatamente do tamanho da geladeira pois fiz a compra em meu cartão parcelado no valor de R$ 4.401,81 e na nota fiscal está o valor de R$ 3. 499,00 eles querem me devolver o valor da nota fiscal e não querem enviar a mesma geladeira pois alegam que não tem na fábrica sendo que vários sites tem, eu preciso do valor que paguei no meu cartão para poder comprar outra, minha sobrinha está com um prejuízo de alimento em torno de 750,00 e continua sem geladeira e a eletrolux faz a nota do valor divergente que paguei está sonegando imposto e se nega a resolver mandou eu procurar os meus direitos",,São Paulo - SP,16/07/2024 às 17:00,Eletrodomésticos,Geladeira-Refrigerador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/robo-aspirador-com-defeito-de-fabrica-e-sem-retorno-da-assistencia-tecnica_WtWSJxr4kZ7lFRaC/,Robô aspirador com defeito de fábrica e sem retorno da assistência técnica,"Comprei o Robô Aspirador ERB40 no dia 20/05/2024, tendo recebido o robô no dia 21/05/2024. Menos de um mês depois, no dia 03/06/2024, o rôbô que informa no site que conta com diversos sensores antiqueda, não funcionou e, enquanto deixava o robô varrendo o segundo andar da casa, ele não funcionou o sistema antiqueda e caiu para o primeiro andar. No mesmo dia - 03/06, levei o robô para a assistência técnica Eletro Raja Assistência Técnica Autprizada e até agora eles não me dão retorno de quando vão devolver a análise. Eles informaram que seria em até 30 dias e agora sequer me respondem. Já passaram 43 dias e não tive nenhum retorno. Uma falta de respeito com o consumidor.


Esclareço que não vou aceitar apenas um mero conserto. O robô veio com defeito de fábrica e agora sequer a assistência técnica retorna. Nos termos do CDC, sempre que o produto adquirido se torne impróprio ou
inadequado ao consumo à que se destina, ou tenha o seu valor diminuído em
virtude de eventual defeito, caberá a exigência de substituição das partes viciadas,
em até 30 (TRINTA) dias. Não sendo sanado tal defeito pelo fornecedor, nos
termos do art. 18, 1, do Código de Defesa do Consumidor, ao consumidor será possível optar por qualquer das três alternativas que a lei lhe assegura, a saber:
(I) substituição do produto por outro da mesma espécie, em perfeitas
condições de uso;
(II) restituição imediata da quantia paga, monetariamente atualizada, sem prejuízo de eventuais perdas e danos;
(III) abatimento proporcional no preço.

Considerando que passaram 30 dias e não tive nenhum retorno da assistência técnica, solicito a restituição integral do valor pago pelo produto.",,Belo Horizonte - MG,16/07/2024 às 16:54,--,--,--
https://www.reclameaqui.com.br/electrolux/produto-sem-seguranca_XiGwuxB6MVo19zMg/,Produto sem segurança,"Comprei 2 fogões Cooktop para mim e para presentear decepção quando instalei verifiquei q as grades não tem instabilidade.
Não segurança porém não posso devolver pois já foi instalado.",,São Bernardo do Campo - SP,16/07/2024 às 16:48,--,--,--
https://www.reclameaqui.com.br/electrolux/forno-de-embutir-8e60m_uiV8-UtAKOEVnPfp/,Forno de embutir 8E60M,"Adquiri um forno elétrico Electrolux modelo 8E60M em Agosto de 2019 e só instalei ele para uso em Novembro de 2020, após quatro anos de uso do produto a cavidade do forno simplesmente abriu por corosão, causando uma rachadura, entrei em contato com o SAC Electrolux, informando o ocorrido e questionando o custo alto da peça (cavidade) para tentar uma negociação já que o mesmo não possuia 05 anos de uso.
Porém a tratativa foi em vão pois no setor de negociação fui atendida por uma mulher bem fria e mal educada, onde pude constatar que ela devia estar prestando o serviço dela com excelência pois com toda a frieza dela, ela estava conseguindo fazer com que o consumidor desistisse da solicitação.
A resposta da Fábrica foi que eu deveria comprar a peça para substituição, porém como já disse anteriormente o custo é alto comparado ao pouco tempo que usei o meu forno e rachou.
As grades do produto são de pessíma qualidade e já estão numa situação bem critíca.
Deixo aqui a minha insatisfação com o produto e com o atendimento que recebi no SAC Electrolux.

Att;
Maenara Lima",,São Gabriel - RS,16/07/2024 às 16:45,--,--,--
https://www.reclameaqui.com.br/electrolux/refrigerador-vazamento-de-gas_-rFQsoEWKvOIAY9-/,Refrigerador vazamento de gás,"Olá comprei um refrigerador da marca Electrolux Fros Free Inverter dúplex branca 431L IF55 top freezer, dia 06 de dezembro de 2021, com apenas 2 anos e 8 meses ocorreu do refrigerador não congelar e nem gelar mas da hora pra outra, chamamos um técnico aqui para ver já que não está mas na garantia, falou que era vazamento de gás, como uma geladeira nova com 2 anos de uso tem vazamento de gás? Um produto caro hj está custando 4.500 , agora temos de fazer outro gasto pagando pra consertar isso é um absurdo, antigamente um refrigerador durava 15 anos pra acontecer isso, me decepcionei com a Electrolux. Meus alimentos todos estragados por conta disso.",,Pacajus - CE,16/07/2024 às 16:33,Eletrodomésticos,Geladeira-Refrigerador,Vazamento de gás
https://www.reclameaqui.com.br/electrolux/problema-com-o-filtro-pc41x-da-electrolux-uma-saga-de-reparo-e-atendimento_883rMLAIk4FM9PUF/,Problema com o Filtro PC41X da Electrolux: Uma Saga de Reparo e Atendimento,"Em setembro de 2022, adquiri um filtro PC41X da Electrolux por R$ 1.082,00. Após 1 ano e 8 meses de uso, o produto apresentou problemas. Levei o filtro à assistência técnica recomendada pela empresa, a Free Maq, onde recebi um orçamento de R$ 700,00 para a troca da cuba e recarga de gás.

Percebi que outros clientes que enfrentaram o mesmo problema receberam as peças necessárias da Electrolux, reduzindo significativamente o custo do reparo. Após analisar meu caso, a Electrolux ofereceu um filtro similar em substituição após uma semana. No entanto, após quinze dias, fui informado por telefone que o filtro similar estava esgotado e me ofereceram outro modelo, que aceitei devido à urgência.

Uma semana depois, fui novamente informado de que o novo modelo também estava esgotado e me ofereceram um estorno em 5 dias úteis. Embora achasse o prazo longo, a atendente garantiu que a devolução costumava ser antecipada.

Hoje, tentei contato com o setor de atendimento da Electrolux, mas sem sucesso. Já se passaram 8 dias úteis e ainda não recebi retorno.",,Campinas - SP,16/07/2024 às 16:28,Eletroportáteis,Purificador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/placa-de-geladeira-eletrolux-queimada_Oh1-piPFEs7H8M9o/,Placa de geladeira Eletrolux queimada,"Meu refrigerador Eletrolux modelo DM84X com apenas 4 anos de uso queimou a placa e infelizmente não acho para comprar em lugar nenhum. Nem a assistência técnica não consegue essa placa. Estou muito insatisfeita, pois estou a 15 dias sem geladeira!",,Lagoa da Prata - MG,16/07/2024 às 16:26,--,--,--
https://www.reclameaqui.com.br/electrolux/electrolux-desorganizacao-edescaso-com-o-cliente_fx3V1eOontTBgvUz/,Electrolux.Desorganização eDescaso com o cliente,"Forno de Embutir comprado conforme NF 03337729 de 28/06/24 com INSTALAÇAO GRATIS. Ocorre que por 3 vezes já indicaram a empresa que faria a instalação e todas dizem que não fazem a instalação no bairro onde moro. Para todas tive o trabalho de entrar em contato, fornecer dados e tudo mais até agendamento, para depois informarem que não irão atender. Que tipo de empresa é essa, ELECTROLUX que vende com instalação gratis mas não conhece as autorizadas para o serviço.",,Porto Alegre - RS,16/07/2024 às 15:45,Eletrodomésticos,Fogão-Forno,Propaganda enganosa
https://www.reclameaqui.com.br/electrolux/geladeira-ib55-com-defeito_EF6BdpymOU2gPWn-/,Geladeira IB55 com defeito,"Fiz a compra de uma geladeira do modelo IB55. Faturada dia 21/05 e instalei no inicio do mês de junho. Ontem 07/07/2024 percebi que o conteúdo do freezer estava vazando, fiz todas as verificações de saída de ar, fechei e ativei o modo turbo. Mesmo assim nada, o congelador não congelando e a geladeira gelando pouco. Abri um suporte as 10 da noite e com agenda para somente quarta feira.
Com muito custo consegui um suporte que me informou que devo aguardar.
Ou seja, tive um prejuizo, perdi todas as carnes do meu freezer, e não tem um plano de contingência.
O cliente é obrigado a esperar a boa vontade da disponibilidade de agenda e pode acontecer um remendo do problema para que passe os 12 meses da garantia e fique por isso mesmo.
Por se tratar de um defeito tenho direito a substituição do produto por um em perfeito estado.

O contato é muito difícil e se resumem a dizer que preciso aguardar a assistência.",,São Roque de Minas - MG,16/07/2024 às 15:45,Eletrodomésticos,Geladeira-Refrigerador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/lavadora-lava-e-seca_dEzMtvjfdxHRUdAb/,LAVADORA LAVA E SECA,"A maquina foi comprada em nome de minha irmã (Editado pelo Reclame AQUI) , CPF (Editado pelo Reclame AQUI), mas a compra foi para (Editado pelo Reclame AQUI) conforme descrito na Nota Fiscal como recebedora do produto, entramos em contato com a assistencia tecnica da Eletrolux em 24/06/2024 que veio ver o produto no dia 25/06/2024, analisou o produto e disse que nao havia reparo a fazer, falou que a energia estava com a fase baixa, pediu pra entrarmos em contato com a Enel (Companhia de Energia), pra aumentar a fase e que o produto voltaria a funcionar, infelizmente a Enel veio ate a residencia e mediu e disse que estava tudo certo com a energia, que o problema estava no ocimetro do tecnico, liguei a maquina novamente e nao funcionou conforme orientado pelo tecnico Eletrolux, contratei um Engenheiro Eletrico particular que mediu a fase e realmente nao encontrou problema de fase conforme a Enel ja tinha mencionado, entramos em contato novamente com a assitencia tecnica eletrolux e relatamos o fato, a mesma disse que nao poderia fazer nada, pois o produto estava perfeito, pra entrarmos em contato com o fabricante pois eles nao podiam fazer mais nada.Entramos em contato com Eletrolux no dia 29/06/2024 para informar todo ocorrido, informei que o tecnico veio e nao resolveu o problema, informei que a mesma funcionou normalmente com a mesma fase de energia mais de um mes, entao o problema nao esta na fase de energia e sim no produto, Eletrox pediu pra enviar video do produto, enviei o video com ocimetro com a fase normal e o produto ligado nao funcionando, ficaram de mandar uma resposta, e nao me deram retorno ate o momento, tive que pagar lavanderia pra lavar minhas roupas, hj nao obtendo soluçao do problema resolvi comprar outro produto de outro fornecedor, e peço pra que retirem esse produto que nao funciona e extornem o valor que eu paguei, pois preciso pagar o outro fornecedor.",,Barueri - SP,16/07/2024 às 15:44,Eletrodomésticos,Lavadora de roupas e Tanquinho,Estorno do valor pago
https://www.reclameaqui.com.br/electrolux/trampo-de-vidro-eletrolux-explodiu_WnVBDHX5ijbd9ab_/,Trampo de vidro eletrolux explodiu,"Em 05/2024 comprei um fogão 5 bocas com trampo de vidro eletrolux no final de junho meu esposo estava cozinhando o vidro explodiu entrei em contrato com a empresa mim mandaram um técnico pra avaliar quando liguei pra saber o resultado da avaliação fui informada que terei de pagar R$ 700,00, como assim se não tivemos resposabilidade com o acontecido o produto novo explode e eu que pago o prejuízo não tá certo vou acionar a justiça!",,Rio de Janeiro - RJ,16/07/2024 às 15:43,--,--,--
https://www.reclameaqui.com.br/electrolux/o-motor-da-minha-geladeira-queimou_oXF-UYvDDI3tCQpJ/,O motor da minha geladeira queimou,"Bom Dia!

Comprei minha geladeira Electrolux dia 28/11/2021, e o motor queimou. Acho um absurdo ter comprado a geladeira novinha e em menos de 3 anos ela queimar. Tem a algo que a Electrolux pode fazer? Tem garantia? O que eu faço? Entrem em contato comigo por favor e me auxiliem.",,Contagem - MG,16/07/2024 às 15:43,Eletrodomésticos,Geladeira-Refrigerador,Assistência técnica
https://www.reclameaqui.com.br/electrolux/geladeira-que-dar-defeitos_ysPiNAdt25v2-d2g/,Geladeira que dar defeitos.,"Minha geladeira tem 2 anos, ela parou de funcionar do nada, sinto o cheiro de gás ou algo parecido saindo dela, sempre confiei na marca mas incrivelmente assim que acaba a assistência técnica o produto começa a dar defeito.

Estou indignada!",,São Paulo - SP,16/07/2024 às 15:43,Eletrodomésticos,Geladeira-Refrigerador,Produto com defeito
https://www.reclameaqui.com.br/electrolux/mop10-electrolux_nOPeTLEtzvarg3jQ/,Mop10 Electrolux,"No dia 29/06/2024, comprei um mop10 no site da Electrolux e conforme o opção de entrega do site, optei por retirar no outlet. Fiz todo o processo de compra e pagamento direto pelo site, e fui ao outlet para retirar o produto, pois sería mais rápido a entrega, o produto veio com defeito e depois de várias tentativas de troca através do Electrolux cuida que é o canal de atendimento para compras on line, eles alegam que a compra foi feita no presencial, mesmo após eu ter enviado todos os print da compra pelo site, solicito a Electrolux cancele a compra, Já que não aceitam trocar.
Já fui atendida pela Kaynara Scarano e Andressa Camargo, que segundo elas devo procurar o local aonde realizei a compra. Produto foi comprado no site.",,Brasília - DF,16/07/2024 às 15:43,--,--,--
https://www.reclameaqui.com.br/electrolux/maquina-de-lavar-louca-vazando_fPUyZKMescNEKoe4/,Máquina de lavar louça vazando,"Comprei uma máquina da Electrolux no meio do ano passado, nem terminei de pagar ainda e agora toda vez que ela lava e termina a lavagem vaza água. Não fiz absolutamente nada pra isso acontecer",,São Bernardo do Campo - SP,16/07/2024 às 15:41,Eletrodomésticos,Lava louças,Produto com defeito
https://www.reclameaqui.com.br/electrolux/maquina-de-lavar-roupa_C6zC2jPYGPBladKH/,Máquina de lavar roupa,Comprei uma máquina Eletrolux em maio. Menos de 2 meses de uso a máquina já apresentou problema. Começar a lavar a roupa e quando chega na função exarguar paralisa e as vezes demora até 4 horas pra continuar. Eles não vem dá assistência agente liga diz que o número está ocupado ou não existe.,,Fortaleza - CE,16/07/2024 às 15:36,Eletrodomésticos,Lavadora de roupas e Tanquinho,Assistência técnica
https://www.reclameaqui.com.br/electrolux/frustacao-com-minha-geladeira-de-alto-valor_Q2mr26UvO-BlhgD0/,Frustação com minha geladeira de alto valor,"Comprei uma geladeira FRENCH DOOR ELETROLUX 579L DM84X, no valor de R$ 5.100,00, um valor alto para pouca durabilidade, a geladeira com apenas 4 anos de uso começou a apresentar defeito, contatei um técnico da eletrolux e ele avaliou a geladeira e disse que se tratava da placa da geladeira que havia queimado. E para realizar a reposição tem um prazo estimado de mais de 45 a 60 dias. É decepcionante realizar um investimento alto numa geladeira e ter um prejuízo desse em tão pouco tempo.",,Laranjeiras - SE,16/07/2024 às 15:16,Eletrodomésticos,Geladeira-Refrigerador,Não gela
